date,Max TempC,Min TempC,Mean TempC,Max DewpC,Min DewpC,Mean DewpC,Max Wind SpeedKph,Min Wind SpeedKph,Mean Wind SpeedKph,Mean Wind Direction
2017-01-01,30,22,25,19,14,16,38,0,13,122
2017-01-02,33,21,24,21,17,18,35,0,9,106
2017-01-03,31,17,24,20,13,17,35,0,10,140
2017-01-04,33,16,25,19,8,12,27,0,10,123
2017-01-05,34,18,28,14,5,8,40,0,14,81
2017-01-06,35,17,27,15,8,11,29,0,9,160
2017-01-07,33,19,27,18,11,13,37,0,15,106
2017-01-08,32,19,25,19,9,13,33,0,13,138
2017-01-09,32,18,25,19,6,13,44,0,14,125
2017-01-10,33,21,26,19,8,14,37,0,14,143
2017-01-11,34,17,27,17,8,11,27,0,12,128
2017-01-12,32,17,26,13,5,8,27,5,17,145
2017-01-13,32,17,25,12,8,9,33,0,9,93
2017-01-15,33,20,28,19,10,14,37,9,22,216
2017-01-16,34,20,26,19,10,13,38,0,10,102
2017-01-17,34,18,26,19,9,13,33,0,11,101
2017-01-18,35,18,26,15,8,11,31,0,9,103
2017-01-19,34,19,26,18,8,13,31,0,10,110
2017-01-20,32,20,26,20,11,15,37,0,11,126
2017-01-21,32,21,26,18,13,15,37,0,13,131
2017-01-22,33,20,27,18,13,15,29,0,17,178
2017-01-23,36,21,28,17,7,13,27,0,12,145
2017-01-24,35,21,27,17,3,10,31,0,15,128
2017-01-25,34,19,27,20,8,13,38,0,14,128
2017-01-26,31,20,25,20,10,16,53,0,14,110
2017-01-27,32,18,24,19,13,16,50,0,12,111
2017-01-28,32,18,25,20,13,16,48,0,14,131
2017-01-29,29,18,24,20,17,18,37,0,17,156
2017-01-30,30,19,24,19,17,18,27,0,9,103
2017-01-31,28,20,22,21,18,18,50,0,14,121
2017-02-01,30,19,24,20,17,18,37,0,12,161
2017-02-02,31,20,25,20,17,18,35,0,13,135
2017-02-03,29,19,24,20,10,18,37,0,10,174
2017-02-04,29,20,23,20,16,18,40,0,10,170
2017-02-05,31,17,25,19,15,16,27,0,14,151
2017-02-06,31,17,25,18,12,15,33,0,16,195
2017-02-07,31,21,27,19,13,16,27,0,12,120
2017-02-08,32,20,26,19,14,16,33,0,15,137
2017-02-09,33,18,26,20,10,14,37,0,12,127
2017-02-10,32,17,26,19,11,14,33,0,13,138
2017-02-11,33,14,26,19,7,15,33,0,11,153
2017-02-12,36,18,27,21,3,14,33,0,13,151
2017-02-13,35,19,27,21,10,15,40,0,14,165
2017-02-14,34,20,25,19,11,15,31,0,8,95
2017-02-15,34,20,28,18,11,14,18,0,7,122
2017-02-16,34,21,27,19,14,15,33,9,15,165
2017-02-17,29,19,23,21,17,19,33,0,11,119
2017-02-18,29,20,24,22,18,20,38,0,11,175
2017-02-19,30,21,24,21,19,20,48,0,13,171
2017-02-20,30,18,23,20,15,18,35,0,12,138
2017-02-21,29,18,23,19,17,17,35,0,13,111
2017-02-22,28,19,23,20,18,18,31,0,13,165
2017-02-23,29,19,24,18,13,16,33,0,11,109
2017-02-24,30,21,25,21,17,18,29,0,15,156
2017-02-25,28,20,24,20,1,17,55,0,17,130
2017-02-26,29,17,24,21,17,19,35,0,12,171
2017-02-27,27,19,23,21,19,19,42,0,18,173
2017-02-28,29,19,25,20,16,18,27,0,15,149
2017-03-01,27,19,23,21,18,19,27,0,10,106
2017-03-02,26,18,22,21,17,18,22,0,8,123
2017-03-03,28,27,27,5,5,5,16,14,15,190
2017-03-05,33,33,33,15,15,15,9,9,9,90
2017-03-06,23,20,21,10,8,9,7,5,6,105
2017-03-09,29,24,26,20,18,19,38,9,27,265
2017-03-10,30,20,25,20,16,18,40,0,13,117
2017-03-11,32,19,27,20,13,17,37,0,16,158
2017-03-12,33,18,27,18,11,14,27,0,14,139
2017-03-13,34,19,28,19,11,15,33,0,15,171
2017-03-14,33,20,27,20,13,17,44,0,17,148
2017-03-15,32,21,25,19,12,16,42,0,12,133
2017-03-16,31,21,24,21,17,18,40,0,13,123
2017-03-17,29,18,24,21,16,18,29,0,12,134
2017-03-18,30,19,24,21,16,17,37,0,9,114
2017-03-19,31,20,25,22,18,19,29,0,11,151
2017-03-20,29,21,24,20,18,19,20,0,8,85
2017-03-21,28,24,26,23,19,20,16,7,10,136
2017-03-22,30,20,25,20,17,18,18,3,9,114
2017-03-23,29,20,24,20,16,19,27,3,13,150
2017-03-24,29,19,24,20,17,18,31,0,12,165
2017-03-25,29,18,23,20,18,19,37,1,14,200
2017-03-26,28,19,24,20,17,18,14,0,6,127
2017-03-27,29,19,24,19,15,17,18,0,9,110
2017-03-28,29,19,24,18,16,17,16,0,7,124
2017-03-29,30,18,24,19,15,17,16,0,8,127
2017-03-30,30,17,24,20,15,17,37,0,14,166
2017-03-31,29,17,23,20,16,17,22,0,11,179
2017-04-01,31,19,24,20,14,17,18,0,6,120
2017-04-02,31,19,24,19,12,16,18,0,7,134
2017-04-03,33,19,25,19,14,16,18,0,7,145
2017-04-04,37,20,27,19,13,16,22,0,9,177
2017-04-05,30,21,26,21,15,17,24,0,10,129
2017-04-06,30,19,24,18,15,17,18,1,8,157
2017-04-07,29,19,24,19,16,17,25,0,9,117
2017-04-08,29,18,22,20,16,18,22,0,7,156
2017-04-09,30,18,24,19,15,17,20,0,9,187
2017-04-10,31,19,24,19,11,16,24,0,8,141
2017-04-11,30,20,25,20,15,16,20,0,8,141
2017-04-12,33,21,27,20,13,16,16,0,8,113
2017-04-13,34,20,27,17,6,13,14,0,7,118
2017-04-14,32,18,26,16,5,12,16,0,7,138
2017-04-15,22,21,21,15,11,13,3,0,0,22
2017-04-16,28,21,24,18,15,16,20,5,12,145
2017-04-17,26,21,24,20,19,19,25,0,15,189
2017-04-18,27,19,23,18,15,17,16,3,8,125
2017-04-19,28,19,24,21,17,18,18,0,8,132
2017-04-20,29,19,24,21,18,19,24,0,11,160
2017-04-21,29,18,24,21,17,18,25,0,8,119
2017-04-22,29,20,26,19,18,18,18,5,10,184
2017-04-23,27,18,24,18,17,17,16,0,9,187
2017-04-24,27,19,23,20,17,18,18,0,7,151
2017-04-25,28,19,24,21,17,18,14,0,7,137
2017-04-26,29,19,24,21,16,18,18,0,9,149
2017-04-27,29,19,23,20,16,18,27,0,8,148
2017-04-28,28,20,25,20,17,18,18,3,10,127
2017-04-29,24,19,21,20,17,18,13,0,7,199
2017-04-30,26,19,21,19,18,18,18,0,7,109
2017-05-01,26,18,21,20,15,17,31,0,9,125
2017-05-02,28,19,23,19,16,18,14,3,7,92
2017-05-03,26,19,21,19,8,16,9,0,3,58
2017-05-04,28,19,23,21,17,19,27,0,8,128
2017-05-05,27,21,23,24,17,19,16,0,6,148
2017-05-06,27,21,23,20,18,18,16,0,6,128
2017-05-07,28,19,23,20,17,18,14,0,6,127
2017-05-08,28,18,23,20,15,18,33,0,9,109
2017-05-09,29,19,24,20,17,18,20,0,9,144
2017-05-10,29,17,22,20,16,18,29,0,5,99
2017-05-11,28,18,22,20,16,17,14,0,8,155
2017-05-12,27,19,23,21,17,18,16,0,7,127
2017-05-13,28,19,23,20,13,17,22,0,8,111
2017-05-14,29,19,23,19,14,17,20,0,7,105
2017-05-15,28,20,23,20,16,18,14,0,7,144
2017-05-16,27,19,22,21,17,18,22,0,9,103
2017-05-17,27,21,23,19,16,18,14,0,6,90
2017-05-18,27,19,22,20,15,17,40,0,8,113
2017-05-19,27,18,21,19,16,17,13,0,5,107
2017-05-20,20,19,19,18,18,18,5,0,2,35
2017-05-21,28,19,24,20,16,17,14,0,7,162
2017-05-22,28,18,24,20,15,17,22,0,9,121
2017-05-23,28,18,22,20,13,17,14,0,7,140
2017-05-24,28,18,23,20,16,17,18,0,7,132
2017-05-25,29,19,25,20,16,18,22,0,11,181
2017-05-26,28,20,24,20,15,18,18,0,7,153
2017-05-27,26,19,23,20,17,18,20,7,10,150
2017-05-28,27,18,22,19,16,17,20,0,7,124
2017-05-29,21,17,20,19,14,17,11,0,4,108
2017-05-30,27,9,21,18,9,16,18,5,7,67
2017-05-31,24,19,21,19,18,18,9,0,5,116
2017-06-01,20,20,20,19,19,19,9,9,9,340
2017-06-02,28,20,22,19,16,17,25,3,9,157
2017-06-03,27,18,22,19,14,17,14,3,7,178
2017-06-04,27,19,22,20,15,17,27,3,11,162
2017-06-05,28,18,24,19,17,18,16,5,9,216
2017-06-06,29,20,24,20,15,17,18,0,9,220
2017-06-07,29,21,24,20,14,17,20,0,9,183
2017-06-08,29,19,23,19,16,17,1296,0,83,125
2017-06-09,29,21,24,18,16,16,14,0,6,121
2017-06-10,29,20,24,18,15,16,14,0,8,157
2017-06-11,29,18,23,19,15,16,13,0,7,130
2017-06-12,29,18,24,19,14,16,11,0,6,187
2017-06-13,29,20,23,19,15,17,14,5,8,100
2017-06-14,28,18,23,19,15,17,16,0,7,147
2017-06-15,28,19,23,19,16,18,18,0,8,152
2017-06-16,27,18,22,19,15,17,14,0,7,119
2017-06-17,27,17,22,19,15,16,16,0,6,150
2017-06-18,27,17,21,18,15,16,27,0,8,168
2017-06-19,28,17,23,18,14,15,13,5,10,130
2017-06-20,29,17,23,18,14,15,13,0,7,124
2017-06-21,29,18,24,18,14,15,16,5,8,167
2017-06-22,27,18,22,19,14,16,18,0,8,152
2017-06-23,29,16,22,18,15,16,11,3,7,145
2017-06-24,29,17,24,16,10,13,18,3,8,190
2017-06-25,28,17,23,18,13,16,18,0,9,137
2017-06-26,28,19,22,18,14,16,13,0,5,102
2017-06-27,29,16,23,17,14,15,18,0,8,108
2017-06-28,28,18,23,19,14,16,22,0,9,148
2017-06-29,25,19,21,20,15,17,25,0,9,105
2017-06-30,28,17,22,19,15,16,18,0,10,126
2017-07-01,29,18,24,17,12,14,18,0,9,156
2017-07-02,29,18,24,17,9,14,183,0,18,162
2017-07-03,27,20,22,19,15,16,24,0,12,213
2017-07-04,27,19,24,17,15,16,18,3,8,154
2017-07-05,28,18,23,17,14,15,14,0,8,97
2017-07-06,27,18,21,17,15,16,18,5,8,173
2017-07-07,27,18,21,17,13,15,20,0,9,159
2017-07-08,29,16,23,15,12,14,16,0,8,121
2017-07-09,29,17,23,16,10,12,22,0,11,177
2017-07-10,29,17,24,14,6,11,25,0,10,196
2017-07-11,29,20,24,17,11,13,22,0,9,166
2017-07-12,26,20,22,18,13,15,20,0,8,147
2017-07-13,20,20,20,17,17,17,7,7,7,40
2017-07-14,29,19,23,18,14,16,14,0,8,128
2017-07-16,28,18,24,20,16,17,24,7,12,187
2017-07-17,28,20,24,19,15,17,14,3,7,161
2017-07-18,29,17,23,18,14,16,29,3,12,175
2017-07-19,29,17,23,20,12,15,16,0,6,115
2017-07-20,28,19,23,19,14,16,16,0,7,164
2017-07-21,29,21,24,20,15,17,20,0,7,129
2017-07-22,28,19,23,20,10,17,98,0,12,157
2017-07-23,26,19,23,20,16,17,27,0,9,195
2017-07-24,27,20,23,18,15,16,11,0,6,83
2017-07-25,25,20,22,19,17,18,13,0,5,142
2017-07-26,39,18,23,23,16,17,13,0,7,162
2017-07-27,29,18,22,21,16,18,14,1,8,135
2017-07-28,29,19,23,19,13,17,9,1,6,88
2017-07-29,27,18,21,18,14,16,33,0,9,141
2017-07-30,28,18,23,18,14,16,16,0,8,145
2017-07-31,28,19,22,18,11,16,18,0,4,69
2017-08-01,28,19,22,19,15,16,20,0,7,108
2017-08-02,25,19,21,18,16,16,18,0,8,154
2017-08-03,29,17,23,17,13,15,22,0,8,118
2017-08-04,29,17,23,17,14,15,1111,0,60,145
2017-08-05,28,18,22,18,15,16,155,0,17,138
2017-08-06,29,17,23,19,15,16,31,0,11,131
2017-08-07,28,18,22,19,14,16,24,0,8,157
2017-08-08,29,19,23,19,14,17,42,3,9,163
2017-08-09,28,18,23,17,14,15,20,1,8,190
2017-08-10,26,19,21,19,16,17,27,3,13,132
2017-08-11,28,18,22,17,13,15,16,3,9,160
2017-08-12,28,19,22,18,13,15,27,0,6,115
2017-08-13,27,16,20,17,15,16,14,0,5,78
2017-08-14,29,19,23,17,14,15,177,0,19,94
2017-08-15,29,17,23,17,12,15,14,0,8,130
2017-08-16,29,18,23,18,14,16,31,0,8,120
2017-08-17,30,19,24,20,14,16,24,0,9,152
2017-08-18,29,18,22,19,15,16,24,1,9,138
2017-08-19,30,17,23,17,14,15,1111,1,69,121
2017-08-20,30,17,23,16,13,14,22,0,8,189
2017-08-21,28,17,23,18,13,15,18,0,8,121
2017-08-22,27,19,21,19,15,16,37,0,11,135
2017-08-23,28,18,22,18,15,16,14,0,4,96
2017-08-24,26,19,21,19,15,17,18,0,4,56
2017-08-25,29,17,22,18,14,16,22,0,9,127
2017-08-26,29,18,23,18,14,16,33,0,9,116
2017-08-27,29,19,24,19,15,16,20,0,8,125
2017-08-28,28,19,22,18,12,16,31,0,9,124
2017-08-29,28,14,21,20,14,16,27,0,7,141
