date,Max TempC,Min TempC,Mean TempC,Max DewpC,Min DewpC,Mean DewpC,Max Wind SpeedKph,Min Wind SpeedKph,Mean Wind SpeedKph,Mean Wind Direction
2017-01-01,9,2,4,6,1,2,31,9,17,288
2017-01-02,4,-2,1,1,-3,-1,22,1,12,293
2017-01-03,8,1,5,4,0,2,31,1,14,265
2017-01-04,8,1,4,4,-3,0,25,9,18,296
2017-01-05,4,-2,0,-1,-4,-1,14,1,8,238
2017-01-06,6,0,2,5,-1,1,18,1,11,157
2017-01-07,8,0,4,7,0,3,7,1,2,163
2017-01-08,9,0,3,7,0,3,13,0,5,142
2017-01-09,10,5,6,7,2,4,29,5,17,220
2017-01-10,9,4,7,7,2,4,22,11,16,254
2017-01-11,12,5,7,8,-2,1,50,20,35,277
2017-01-12,5,-1,2,1,-3,-1,29,5,16,264
2017-01-13,5,-1,1,0,-6,-2,42,9,26,295
2017-01-14,5,-1,2,-1,-5,-2,24,0,13,289
2017-01-15,9,0,5,7,-1,4,11,1,4,222
2017-01-16,7,4,5,7,4,4,13,0,8,139
2017-01-17,7,4,5,6,4,5,14,3,10,166
2017-01-18,9,6,7,7,5,5,11,0,5,170
2017-01-19,8,6,7,6,2,4,7,0,2,201
2017-01-20,8,-1,4,5,-1,2,11,0,5,138
2017-01-21,4,1,3,4,0,2,11,1,4,134
2017-01-22,4,-2,1,1,-2,0,14,0,6,153
2017-01-23,4,-4,0,2,-5,-1,7,1,3,118
2017-01-24,4,-3,0,4,-3,0,14,1,7,126
2017-01-25,7,0,3,3,0,1,25,3,14,157
2017-01-26,2,-1,0,1,-3,-2,24,14,20,147
2017-01-27,2,-2,0,2,-3,0,18,5,11,131
2017-01-28,7,2,4,4,0,2,20,3,12,173
2017-01-29,6,0,3,4,0,1,14,3,8,140
2017-01-30,8,3,5,5,2,2,22,1,12,207
2017-01-31,6,4,4,5,2,3,25,11,18,136
2017-02-01,10,6,7,8,5,6,25,1,11,133
2017-02-02,11,8,10,9,5,7,38,14,29,150
2017-02-03,11,6,8,5,3,4,29,16,22,144
2017-02-04,8,1,4,6,0,1,22,3,13,173
2017-02-05,7,-1,3,3,-2,1,14,1,5,148
2017-02-06,5,-4,0,3,-5,0,27,1,12,145
2017-02-07,8,3,5,5,2,3,27,1,12,148
2017-02-08,5,2,3,4,-1,1,18,3,10,81
2017-02-09,3,2,2,-1,-3,-1,13,5,8,69
2017-02-10,3,1,1,0,-2,-1,20,9,14,65
2017-02-11,4,2,3,2,0,1,31,11,18,108
2017-02-12,4,2,3,2,-2,0,33,18,25,32
2017-02-13,7,4,4,3,1,2,31,9,21,55
2017-02-14,8,2,4,2,1,1,14,5,9,81
2017-02-15,10,8,9,8,7,7,9,9,9,140
2017-02-16,9,7,7,4,3,3,20,13,17,220
